type,method,difference
CF,D,0.2088
CF,D,0.1735
CF,D,0.1802
CF,D,0.1419
CF,D,0.0998
CF,D,0.1674
CF,D,0.1588
CF,D,0.1615
CF,D,0.2293
CF,D,0.109
CF,D,0.0893
CF,D,0.0654
CF,D,0.1157
CF,D,0.1576
CF,D,0.0148
CF,D,0.0703
CF,D,0.1563
CF,D,0.0669
CF,D,0.1405
CF,D,0.0952
CF,D,0.0254
CF,D,0.0988
CF,D,0.1327
CF,D,0.1432
CF,D,0.1883
CF,D,0.0729
CF,D,0.0725
CF,D,0.1287
CF,D,0.065
CF,D,0.0903
CF,D,0.169
CF,D,0.1492
CF,D,0.1287
CF,D,0.141
CF,D,0.1933
CF,D,0.1487
CF,D,0.0992
CF,D,0.1751
CF,D,0.1603
CF,D,0.0703
CF,D,0.0716
CF,D,0.0782
CF,D,0.1829
CF,D,0.0983
CF,D,0.1262
CF,D,0.1374
CF,D,-0.0038
CF,D,0.2078
CF,D,-0.0284
CF,D,-0.0333
CF,D,0.0883
CF,D,0.001
CF,D,0.0859
CF,D,0.0751
CF,D,0.0441
CF,D,0.0197
CF,D,0.0366
CF,D,0.1693
CF,D,0.1001
CF,D,0.0599
CF,D,0.0622
CF,D,0.0437
CF,D,0.0557
CF,D,0.0764
CF,D,0.0295
CF,D,0.007
CF,D,0.0824
CF,D,-0.0467
CF,D,0.03
CF,D,0.1616
CF,D,0.167
CF,D,0.0928
CF,D,0.0936
CF,D,0.0984
CF,D,0.0918
CF,D,0.0371
CF,D,0.0626
CF,D,0.1162
CF,D,0.1269
CF,D,0.102
CF,D,0.0664
CF,D,0.0656
CF,D,0.0031
CF,D,-0.0105
CF,D,0.0014
CF,D,0.0905
CF,D,0.152
CF,D,0.0689
CF,D,0.0903
CF,D,0.0162
CF,D,0.0133
CF,D,-0.0241
CF,D,0.0018
CF,D,0.0764
CF,D,0.0103
CF,D,0.0531
CF,D,0.0682
CF,D,0.0016
CF,D,0.0564
CF,D,-0.0058
CF,D,0.0302
CF,D,0.1141
CF,D,-0.0322
CF,D,-0.0458
CF,D,-0.0146
CF,D,-0.0088
CF,D,0.0668
CF,D,0.0721
CF,D,0.0797
CF,D,0.0704
CF,D,0.0409
CF,D,0.0411
CF,D,0.0331
CF,D,0.1304
CF,D,0.113
CF,D,0.0521
CF,D,0.1058
CF,D,-0.0049
CF,D,0.1074
CF,D,0.0383
CF,D,0.052
CF,D,0.0823
CF,D,0.0049
CF,D,0.0224
CF,D,0.0786
CF,D,-0.0019
CF,D,0.0402
CF,D,0.0113
CF,D,0.0078
CF,D,0.0221
CF,D,0.0752
CF,D,0.0423
CF,D,0.0488
CF,D,0.0205
CF,D,0.0402
CF,D,-0.0025
CF,D,-0.0021
CF,D,0.016
CF,D,0.0201
CF,D,0.0094
CF,D,-0.0209
CF,D,0.1707
CF,D,0.1302
CF,D,0.1118
CF,D,0.0672
CF,D,0.1165
CF,D,0.0089
CF,D,-0.0494
CF,D,0.1528
CF,D,0.0818
CF,D,0.196
CF,D,0.137
CF,D,0.0301
CF,D,0.0879
CF,D,0.0041
CF,D,0.0469
CF,D,0.0316
CF,D,0.0834
CF,D,0.121
CF,D,0.0807
CF,D,-0.0881
CF,D,0.0347
CF,D,0.04
CF,D,0.1019
CF,D,0.0973
CF,D,0.0264
CF,D,-0.0064
CF,D,-0.0817
CF,D,0.0177
CF,D,0.0294
CF,D,0.1227
CF,D,0.0219
CF,D,0.0018
CF,D,0.0335
CF,D,0.1044
CF,D,-0.0357
CF,D,0.0025
CF,D,0.0274
CF,D,0.0357
CF,D,0.1041
CF,D,0.1196
CF,D,0.0463
CF,D,0.0268
CF,D,0.0898
CF,D,0.01
CF,D,0.0402
CF,D,0.0313
CF,D,0.0279
CF,D,0.1035
CF,D,0.0378
CF,D,-0.0365
CF,D,0.0206
CF,D,-0.0241
CF,D,0.0506
CF,D,0.0913
CF,D,0.0492
CF,D,0.0045
CF,D,0.0047
CF,D,-0.018
CF,D,-0.0194
CF,D,-0.0006
CF,D,0.0667
CF,D,0.0352
CF,D,0.0087
CF,D,0.0206
CF,D,-0.0477
CF,D,0.027
CF,D,0.0165
CF,D,0.0225
CF,D,0.0338
CF,D,0.1415
CF,D,-0.0506
CF,D,-0.0411
CF,D,0.0909
CF,D,0.1276
CF,D,0.0815
CF,D,0.0853
CF,D,0.097
CF,D,0.0831
CF,D,0.0459
CF,D,0.0665
CF,D,0.1269
CF,D,0.1212
CF,D,0.1067
CF,D,0.0738
CF,D,0.0491
CF,D,0.072
CF,D,0.0209
CF,D,0.0453
CF,D,0.0821
CF,D,0.0594
CF,D,0.0418
CF,D,0.1043
CF,D,0.0393
CF,D,0.0455
CF,D,0.0592
CF,D,0.0352
CF,D,0.1214
CF,D,0.1031
CF,D,0.0947
CF,D,0.0897
CF,D,0.006
CF,D,0.0207
CF,D,0.0576
CF,D,0.0249
CF,D,0.1026
CF,D,0.0756
CF,D,0.0227
CF,D,0.0784
CF,D,0.0704
CF,D,0.1044
CF,D,0.0819
CF,D,0.0438
CF,D,0.0488
CF,D,0.0915
CF,D,0.03
CF,D,0.0454
CF,D,0.1139
CF,D,0.1253
CF,D,0.0939
CF,D,0.0955
CF,D,0.0608
CF,D,0.0576
CF,D,0.0518
CF,D,0.0035
CF,D,0.0766
CF,D,0.0528
CF,D,0.0475
CF,D,0.0598
CF,D,0.0426
CF,D,0.0526
CF,D,0.043
CF,D,0.0405
CF,D,0.046
CF,D,0.015
CF,D,0.0451
CF,D,0.1036
CF,D,0.0305
CF,D,0.0539
CF,D,-0.0054
CF,D,-0.021
CF,D,0.0566
CF,D,0.0604
CF,D,-0.0254
CF,D,0.0719
CF,D,0.0981
CF,D,0.1112
CF,D,0.0853
CF,D,0.0696
CF,D,0.1447
CF,D,0.1025
CF,D,0.0685
CF,D,0.0915
CF,D,0.0912
CF,D,0.1754
CF,D,0.1553
CF,D,0.1293
CF,D,0.0866
CF,D,0.0729
CF,D,0.0395
CF,D,0.0427
CF,D,0.0692
CF,D,0.1134
CF,D,0.0861
CF,D,0.0849
CF,D,0.0525
CF,D,0.0886
CF,D,0.0991
CF,D,0.0671
CF,D,0.0285
CF,D,0.0034
CF,D,0.053
CF,D,0.1269
CF,D,-0.0127
CF,D,0.0335
CF,D,0.019
CF,D,-0.1207
CF,D,0.0835
CF,D,0.0526
CF,D,0.0337
CF,D,-0.0147
CF,D,0.074
CF,D,0.0962
CF,D,0.0645
CF,D,0.0116
CF,D,0.0468
CF,D,0.0672
CF,D,0.0544
CF,D,0.0152
CF,D,0.1159
CF,D,0.093
CF,D,0.0987
CF,D,0.0168
CF,D,0.0107
CF,D,0.0548
CF,D,-0.0147
CF,D,0.0312
CF,D,0.0519
CF,D,0.1034
CF,D,0.1062
CF,D,0.0237
CF,D,0.0086
CF,D,0.0056
CF,D,0.0236
CF,D,0.0001
CF,D,-0.0116
CF,D,0.0808
CF,D,0.0696
CF,D,0.0355
CF,D,0.0031
CF,D,-0.0078
CF,D,-0.0006
CF,D,-0.002
CF,D,-0.0116
CF,D,0.0442
CF,D,-0.02
CF,D,0.0165
CF,D,0.0341
CF,D,0.0395
CF,D,0.0316
CF,D,0.0432
CF,D,-0.0098
CF,D,0.0428
CF,D,0.0549
CF,D,-0.0648
CF,D,0.035
CF,D,0.0585
CF,D,-0.0079
CF,D,0.0699
CF,D,-0.0121
CF,D,0.0029
CF,D,0.0045
CF,D,-0.0518
CF,D,0.0544
CF,D,0.0752
CF,D,-0.0566
CF,D,0.078
CF,D,0.0479
CF,D,0.0055
CF,D,-0.0597
CF,D,-0.0715
CF,D,0.0361
CF,D,0.048
CF,D,0.0276
CF,D,0.0759
CF,D,-0.0132
CF,D,-0.0062
CF,D,0.0104
CF,D,-0.1257
CF,D,0.0156
CF,D,-0.0495
CF,D,0.1337
CF,D,0.0031
CF,D,0.1763
CF,D,0.2083
CF,D,0.0856
CF,D,0.1532
CF,D,0.1061
CF,D,0.1303
CF,D,0.1034
CF,D,0.0478
CF,D,0.1864
CF,D,0.2637
CF,D,0.2541
CF,D,0.068
CF,D,0.2059
CF,D,0.108
CF,D,0.0678
CF,D,0.0287
CF,D,0.086
CF,D,0.1923
CF,D,0.2045
CF,D,0.2344
CF,D,0.0558
CF,D,0.0609
CF,D,0.0515
CF,D,0.0962
CF,D,0.0661
CF,D,0.2304
CF,D,0.0068
CF,D,0.0367
CF,D,-0.0587
CF,D,0.0752
CF,D,-0.065
CF,D,-0.0278
CF,D,0.0776
CF,D,0.0606
CF,D,0.1254
CF,D,0.1122
CF,D,0.2602
CF,D,0.2552
CF,D,0.1663
CF,D,0.2523
CF,D,0.2832
CF,D,0.2707
CF,D,0.2361
CF,D,0.2672
CF,D,0.3573
CF,D,0.2553
